"date","country","channel_id","device_type","exit_clicks","revenue_loc"
"2025-05-21","CZ","69","mobile","352","1633.91"
"2025-05-21","CZ","32","pc","187","1212.08"
"2025-05-21","CZ","10","pc","43","336.41"
"2025-05-21","CZ","39","pc","891","3569.69"
"2025-05-08","CZ","52","pc","22","130.4"
"2025-05-08","CZ","39","tablet","46","172.78"
"2025-05-04","CZ","29","mobile","12678","52914.33"
"2025-05-04","CZ","33","pc","2070","9775.26"
"2025-05-04","CZ","34","mobile","5283","28708.85"
"2025-05-04","CZ","58","mobile","3890","28484.45"
"2025-05-04","CZ","58","pc","795","6331.57"
"2025-05-04","CZ","31","tablet","69","391.78"
"2025-05-04","CZ","69","pc","156","706.13"
"2025-05-04","CZ","66","mobile","243","1052.84"
"2025-05-04","CZ","38","mobile","432","3179.23"
"2025-05-04","CZ","39","tablet","70","208.96"
"2025-06-10","CZ","25","pc","532","3580.95"
"2025-06-10","CZ","58","pc","1102","8873.6"
"2025-06-10","CZ","28","tablet","51","239.13"
"2025-06-10","CZ","33","pc","1549","8535.88"
"2025-06-10","CZ","67","tablet","17","132.65"
"2025-06-10","CZ","69","pc","267","1327.38"
"2025-06-10","CZ","65","pc","117","692.34"
"2025-06-10","CZ","67","pc","173","1425.62"
"2025-06-10","CZ","18","tablet","11","86.97"
"2025-06-10","CZ","68","pc","6","28.89"
"2025-06-04","CZ","9","tablet","1","5.7"
"2025-06-03","CZ","29","mobile","6794","29758.97"
"2025-06-03","CZ","25","mobile","269","1910.3"
"2025-06-03","CZ","38","mobile","66","317.16"
"2025-06-03","CZ","52","pc","17","189.13"
"2025-06-03","CZ","16","pc","3","47.33"
"2025-06-03","CZ","34","tablet","58","318.42"
"2025-06-03","CZ","35","pc","29","178.87"
"2025-06-03","CZ","37","pc","4","29.44"
"2025-06-03","CZ","57","mobile","23","123.02"
"2025-06-04","CZ","45","mobile","5","31.14"
"2025-05-30","CZ","52","mobile","371","1942.79"
"2025-05-30","CZ","25","mobile","251","1671.88"
"2025-05-30","CZ","69","pc","139","614.71"
"2025-05-30","CZ","45","mobile","5","43.34"
"2025-05-30","CZ","58","tablet","2","24.8"
"2025-05-31","CZ","61","mobile","4703","23704.93"
"2025-05-31","CZ","22","mobile","18725","104235.11"
"2025-05-31","CZ","26","mobile","2208","10660.12"
"2025-05-31","CZ","27","mobile","5618","30639.15"
"2025-05-31","CZ","29","pc","568","2743.14"
"2025-05-31","CZ","44","mobile","49","354.83"
"2025-05-31","CZ","13","mobile","51","294.85"
"2025-05-31","CZ","18","mobile","181","1209.68"
"2025-05-31","CZ","31","tablet","61","376.62"
"2025-05-31","CZ","12","mobile","104","635.79"
"2025-05-31","CZ","70","pc","45","189.02"
"2025-07-06","CZ","29","mobile","8190","44517.16"
"2025-07-06","CZ","45","mobile","196","1471.04"
"2025-07-06","CZ","39","pc","721","3669.76"
"2025-07-06","CZ","28","tablet","61","357.14"
"2025-07-06","CZ","30","mobile","421","3234.67"
"2025-07-06","CZ","58","pc","438","5184.67"
"2025-07-06","CZ","33","tablet","113","616.13"
"2025-07-06","CZ","30","pc","115","896.97"
"2025-07-06","CZ","12","mobile","91","697.02"
"2025-07-06","CZ","64","pc","79","599.77"
"2025-07-06","CZ","53","mobile","2","20.6"
"2025-07-06","CZ","35","pc","4","20.85"
"2025-07-06","CZ","57","tablet","2","28.29"
"2025-07-07","CZ","6","mobile","10887","75512.14"
"2025-07-07","CZ","29","mobile","8023","44393.49"
"2025-07-07","CZ","18","mobile","252","2086.65"
"2025-07-07","CZ","28","tablet","93","581.45"
"2025-07-07","CZ","70","pc","51","491.87"
"2025-07-07","CZ","25","pc","369","3258.88"
"2025-07-07","CZ","23","tablet","37","305.7"
"2025-05-18","CZ","62","pc","936","6755.97"
"2025-05-18","CZ","70","pc","96","596.79"
"2025-05-18","CZ","38","mobile","152","740.15"
"2025-05-18","CZ","20","tablet","19","108.76"
"2025-05-18","CZ","17","pc","34","253.43"
"2025-05-23","CZ","45","mobile","4","23.31"
"2025-05-04","CZ","11","mobile","316","1813.03"
"2025-05-04","CZ","28","mobile","2533","12675.5"
"2025-05-04","CZ","30","mobile","445","2461.83"
"2025-05-04","CZ","67","pc","291","2123.26"
"2025-05-04","CZ","39","pc","1257","4245.27"
"2025-05-04","CZ","30","tablet","3","15.41"
"2025-06-03","CZ","70","pc","25","133.08"
"2025-06-03","CZ","69","pc","117","543.34"
"2025-07-06","CZ","22","tablet","130","1084.91"
"2025-07-06","CZ","9","pc","7","60.13"
"2025-05-09","CZ","5","mobile","21746","129134.37"
"2025-05-09","CZ","31","pc","4252","24554.56"
"2025-05-09","CZ","61","pc","2025","11353.97"
"2025-05-09","CZ","29","pc","1120","5725.27"
"2025-05-09","CZ","57","pc","402","2342.98"
"2025-05-09","CZ","34","pc","1742","10083.02"
"2025-05-09","CZ","67","mobile","2302","14830.75"
"2025-05-09","CZ","52","mobile","356","2286.4"
"2025-05-09","CZ","26","mobile","2627","14226.57"
"2025-05-02","CZ","33","pc","1470","7086.15"
"2025-05-02","CZ","58","pc","479","4122.68"
"2025-05-02","CZ","26","mobile","2741","13088.17"
"2025-05-02","CZ","62","pc","474","3371.33"
"2025-05-02","CZ","34","pc","1634","9446.8"
"2025-05-02","CZ","27","pc","3224","19182.93"
